category,model_mode,prompt_text,source_url
pic,Nano Banana ProImage,"Keep everything exactly the same, but give him enormous glowing angel wings on his back — soft white feathers, slightly iridescent, illuminated by the sunset light and reflecting gently on the water.",https://picsart.com/vi/create
pic,Nano Banana ProImage,"Keep everything exactly the same, but replace the skateboard with a full-sized flying carpet mid-flip.",https://picsart.com/vi/create
pic,Nano Banana ProImage,"Keep everything exactly the same, but replace the entire rural landscape with gigantic rubber ducks towering behind her like surreal monuments.",https://picsart.com/vi/create
pic,Nano Banana ProImage,"Add shimmering northern lights in green and purple dancing across the night sky, their vivid curtains perfectly reflected in the still mountain lake below",https://picsart.com/vi/create
pic,Nano BananaImage,"Transform into a rainy night scene — wet cobblestones reflecting warm neon signs, raindrops streaking down the window glass, the cat now awake and watching the rain, warm cozy glow from inside",https://picsart.com/vi/create
pic,Nano Banana ProImage,"Place the astronaut hiking through this mountain landscape, standing on a rocky trail overlooking the wildflower meadow and lake at golden hour, natural scale and lighting matching the scene",https://picsart.com/vi/create
pic,Nano Banana ProImage,"The woman is now wearing the emerald green silk wrap dress from the second image, maintaining her confident pose and natural expression, same studio setting and lighting",https://picsart.com/vi/create
